id,name,price,signal,pnl,count,win_rate,reason
VIC.VN,VIC.VN,229800.0,🟡 預警 (⚠️ 乖離過高),76.09,2,100.0,[P:0.95/5.0] [🚀 極強] 乖離率 10.1% 謹慎追價
VPB.VN,VPB.VN,28650.0,🟡 預警 (🚀 盤整突破),65.86,2,50.0,[P:1.01/5.0] [🚀 極強] 離開盤整區
VJC.VN,VJC.VN,173100.0,☁️ 觀望,64.91,3,66.67,[P:0.97/5.0] [🚀 極強] 等待機會
VHM.VN,VHM.VN,157000.0,🟡 預警 (⚠️ 乖離過高),49.28,3,100.0,[P:0.85/5.0] [📈 穩定] 乖離率 5.6% 謹慎追價
MBB.VN,MBB.VN,25850.0,☁️ 觀望,45.18,5,80.0,[P:0.85/5.0] [📉 轉弱] 等待機會
BID.VN,BID.VN,43550.0,💎 持股,41.01,4,100.0,[📈 標準 V3] [P:0.97/5.0] [🚀 極強] 趨勢維持
E1VFVN30.VN,E1VFVN30.VN,36680.0,💎 持股,36.29,7,71.43,[📈 標準 V3] [P:0.85/5.0] [🚀 極強] 趨勢維持
GMD.VN,GMD.VN,81300.0,💎 持股,32.53,2,100.0,[📈 標準 V3] [P:0.85/5.0] [📈 穩定] 趨勢維持
VCB.VN,VCB.VN,61000.0,☁️ 觀望,16.9,2,100.0,[P:1.0/5.0] [🚀 極強] 等待機會
FUEVFVND.VN,FUEVFVND.VN,36820.0,☁️ 觀望,13.26,7,57.14,[P:0.85/5.0] [📉 轉弱] 等待機會
HPG.VN,HPG.VN,27050.0,☁️ 觀望,12.11,1,100.0,[P:1.01/5.0] [📉 轉弱] 等待機會
VID.VN,VID.VN,4830.0,☁️ 觀望,3.13,1,100.0,[P:1.01/5.0] [📉 轉弱] 等待機會
BCM.VN,BCM.VN,53400.0,☁️ 觀望,0,0,0,[P:1.01/5.0] [📉 轉弱] 等待機會
GEE.VN,GEE.VN,124000.0,🟡 預警 (⚠️ 乖離過高),0,0,0,[P:1.01/5.0] [📈 穩定] 乖離率 11.0% 謹慎追價
MWG.VN,MWG.VN,84200.0,🟡 預警 (🚀 盤整突破),0,0,0,[P:1.01/5.0] [🚀 極強] 離開盤整區
SSI.VN,SSI.VN,28100.0,☁️ 觀望,0,0,0,[P:1.01/5.0] [📉 轉弱] 等待機會
VNM.VN,VNM.VN,60100.0,☁️ 觀望,0,0,0,[P:1.01/5.0] [📉 轉弱] 等待機會
HVN.VN,HVN.VN,21250.0,☁️ 觀望,-0.56,3,33.33,[P:0.85/5.0] [📉 轉弱] 等待機會
FPT.VN,FPT.VN,73900.0,🟡 預警 (🚀 盤整突破),-1.91,2,0.0,[P:0.99/5.0] [📉 轉弱] 離開盤整區
VHC.VN,VHC.VN,61200.0,☁️ 觀望,-6.62,6,16.67,[P:0.85/5.0] [🚀 極強] 等待機會
