SID,Name,Price,Advice,Status
2317,鴻海,207.5,[🚀 極強] 🚨 賣出,ATR(2.2x)
3702,大聯大,100.5,[🚀 極強] ⏳ 觀望,ATR: 2.8x
2485,兆赫,72.2,[📉 轉弱] ⏳ 觀望,ATR: 2.2x
2367,燿華,65.6,[📉 轉弱] 🚨 賣出,ATR(2.2x)
4142,國光生,18.1,[📈 穩定] 🚨 賣出,ATR(2.2x)
0050,元大台灣50,86.05,[🚀 極強] ⏳ 觀望,ATR: 3.5x
0056,元大高股息,41.47,[🚀 極強] ⏳ 觀望,ATR: 2.8x
00635U,期元大S&P黃金,50.25,[📉 轉弱] 🚨 賣出,ATR(2.2x)
00738U,期元大道瓊白銀,64.7,[🚀 極強] ⏳ 觀望,ATR: 2.8x
00929,復華台灣科技優息,21.65,[🚀 極強] ⏳ 觀望,ATR: 2.8x
009816,凱基台灣TOP50,12.07,[🚀 極強] ⏳ 觀望,ATR: 2.8x
00990A,主動元大AI新經濟,14.83,[🚀 極強] ⏳ 觀望,ATR: 3.5x
2009,第一銅,39.7,[📉 轉弱] 🚨 賣出,"ATR(2.2x), TrendDead"
2337,旺宏,120.5,[📉 轉弱] ⏳ 觀望,ATR: 3.5x
2352,佳世達,25.65,[🚀 極強] ⏳ 觀望,ATR: 3.5x
2409,友達,18.9,[📈 穩定] ⏳ 觀望,ATR: 3.5x
3481,群創,26.15,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
6136,富爾特,26.95,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
6806,森崴能源,29.8,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
3105,穩懋,592.0,[🚀 極強] ⏳ 觀望,ATR: 3.5x
4966,譜瑞-KY,532.0,[🚀 極強] 🚨 賣出,ATR(2.2x)
6188,廣明,85.8,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
7792,安葆,357.0,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
2327,國巨*,319.5,[🚀 極強] ⏳ 觀望,ATR: 3.5x
4956,光鋐,53.3,[🚀 極強] 🚨 賣出,Trailing
6770,力積電,51.4,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
6271,同欣電,185.5,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
4973,廣穎,87.3,[📉 轉弱] ⏳ 觀望,ATR: 3.5x
0052,富邦科技,49.95,[🚀 極強] 🔥 買入,ATR: 2.8x
