id,name,price,signal,pnl,count,win_rate,reason
6789.TW,采鈺,470.0,☁️ 觀望,44.55,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
00738U.TW,期元大道瓊白銀,46.2700004578,☁️ 觀望,33.95,9,55.56,[P:0.95/8.0] [📈 穩定] 等待機會
00991A.TW,主動復華未來50,16.4200000763,☁️ 觀望,23.88,2,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
00635U.TW,期元大S&P黃金,41.9500007629,☁️ 觀望,23.26,7,57.14,[P:0.95/8.0] [📈 穩定] 等待機會
2399.TW,映泰,37.75,☁️ 觀望,13.76,10,20.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3008.TW,大立光,3920.0,☁️ 觀望,13.35,8,37.5,[P:0.95/8.0] [📉 轉弱] 等待機會
8028.TW,昇陽半導體,300.5,☁️ 觀望,9.59,8,37.5,[P:0.95/8.0] [📈 穩定] 等待機會
00992A.TW,主動群益科技創新,15.6700000763,☁️ 觀望,8.76,1,100.0,[P:0.95/8.0] [📉 轉弱] 等待機會
00988A.TW,主動統一全球創新,17.2199993134,☁️ 觀望,7.52,4,25.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2618.TW,長榮航,40.7000007629,☁️ 觀望,6.89,5,60.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2412.TW,中華電,139.0,🟡 預警 (⚡ 糾結噴發),-1.16,8,50.0,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
3450.TW,聯鈞,427.0,☁️ 觀望,-4.13,8,37.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2609.TW,陽明,51.5,🟡 預警 (⚡ 糾結噴發),-18.02,5,20.0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
1540.TW,喬福,21.4500007629,☁️ 觀望,-23.03,6,0.0,[P:0.95/8.0] [📈 穩定] 等待機會
