股號,名稱,即時現價,建議狀態,詳細建議
2317,鴻海,<span class='price-now'>207.5</span><br><small>損益: -13.98%</small>,⚪ 觀望中,指標未翻正，保持觀望。
3702,大聯大,<span class='price-now'>96.5</span><br><small>損益: +2.14%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2485,兆赫,<span class='price-now'>78.3</span><br><small>損益: -3.77%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2367,燿華,<span class='price-now'>72.0</span><br><small>損益: -6.58%</small>,⚪ 觀望中,指標未翻正，保持觀望。
4142,國光生,<span class='price-now'>18.2</span><br><small>損益: -28.12%</small>,⚪ 觀望中,指標未翻正，保持觀望。
0050,元大台灣50,<span class='price-now'>83.1</span><br><small>損益: +78.33%</small>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 81.75。
0056,元大高股息,<span class='price-now'>39.97</span><br><small>損益: +9.72%</small>,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
00635U,期元大S&P黃金,<span class='price-now'>50.15</span><br><small>損益: -9.23%</small>,🚩 建議買入,突破壓力位，指標呈 🌀 趨勢分歧震盪。
00738U,期元大道瓊白銀,<span class='price-now'>62.55</span><br><small>損益: -5.60%</small>,⚪ 觀望中,指標未翻正，保持觀望。
00929,復華台灣科技優息,<span class='price-now'>20.42</span><br><small>損益: +3.50%</small>,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
009816,凱基台灣TOP50,<span class='price-now'>11.67</span><br><small>損益: +5.99%</small>,⚪ 觀望中,指標未翻正，保持觀望。
00990A,主動元大AI新經濟,<span class='price-now'>14.5</span><br><small>損益: +26.31%</small>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 14.26。
2009,第一銅,<span class='price-now'>41.65</span><br><small>損益: -17.62%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2337,旺宏,<span class='price-now'>155.5</span><br><small>損益: +63.20%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2352,佳世達,<span class='price-now'>24.2</span><br><small>損益: +148.97%</small>,🚩 建議買入,突破壓力位，指標呈 🌀 趨勢分歧震盪。
2409,友達,<span class='price-now'>19.8</span><br><small>損益: +22.15%</small>,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 18.4。
3481,群創,<span class='price-now'>27.25</span><br><small>損益: +8.57%</small>,⚪ 觀望中,指標未翻正，保持觀望。
6136,富爾特,<span class='price-now'>24.55</span><br><small>損益: +114.22%</small>,⚪ 觀望中,指標未翻正，保持觀望。
6806,森崴能源,<span class='price-now'>18.6</span><br><small>損益: -59.02%</small>,⚪ 觀望中,指標未翻正，保持觀望。
3105,穩懋,<span class='price-now'>457.0</span><br><small>損益: +7.44%</small>,⚪ 觀望中,指標未翻正，保持觀望。
4966,譜瑞-KY,<span class='price-now'>539.0</span><br><small>損益: -71.95%</small>,⚪ 觀望中,指標未翻正，保持觀望。
6188,廣明,<span class='price-now'>87.7</span><br><small>損益: -24.13%</small>,⚪ 觀望中,指標未翻正，保持觀望。
7792,安葆,<span class='price-now'>356.0</span><br><small>損益: +15.86%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2327,國巨*,<span class='price-now'>312.0</span><br><small>損益: +32.09%</small>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 299.0。
