股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
3702.TW,大聯大,無,101.0,67.4,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,6,0,1.0,0.0364
00981A.TW,主動統一台股增長,無,28.2800006866,90.68,🟢 黃金標的,66.67%,100.00%,7.03%,-0.90%,3,0,1.0,0.0703
3105.TWO,穩懋,無,536.0,60.11,🟢 黃金標的,57.14%,85.71%,5.35%,-6.96%,7,0,0.8571,0.0535
7792.TWO,安葆,無,355.5,48.52,🟢 黃金標的,30.00%,80.00%,8.70%,-5.89%,10,0,0.8,0.087
2367.TW,燿華,無,57.7000007629,23.05,🟢 黃金標的,33.33%,66.67%,4.93%,-4.33%,6,0,0.6667,0.0493
2337.TW,旺宏,無,154.0,53.31,🟢 黃金標的,80.00%,60.00%,9.66%,-2.16%,5,0,0.6,0.0966
3714.TW,富采,無,74.0999984741,72.97,🟢 黃金標的,22.22%,55.56%,4.90%,-6.62%,9,0,0.5556,0.049
3481.TW,群創,無,23.9500007629,36.6,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,4,0,0.75,0.0189
6136.TW,富爾特,無,25.3999996185,56.33,⚪ 一般監控,66.67%,66.67%,2.47%,-2.86%,3,0,0.6667,0.0247
8104.TW,錸寶,無,33.25,53.96,⚪ 一般監控,40.00%,60.00%,1.27%,-7.73%,5,0,0.6,0.0127
6261.TWO,久元,無,91.5,66.06,⚪ 一般監控,10.00%,60.00%,1.68%,-4.16%,10,0,0.6,0.0168
0056.TW,元大高股息,無,40.9000015259,65.22,⚪ 一般監控,66.67%,50.00%,0.13%,-0.78%,6,0,0.5,0.0013
4966.TWO,譜瑞-KY,無,575.0,57.14,⚪ 一般監控,20.00%,40.00%,1.61%,-4.84%,5,0,0.4,0.0161
2327.TW,國巨*,無,317.0,62.9,⚪ 一般監控,33.33%,33.33%,2.63%,-2.70%,3,0,0.3333,0.0263
009816.TW,凱基台灣TOP50,無,13.0500001907,89.47,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
2009.TW,第一銅,無,37.5,29.73,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
6806.TW,森崴能源,無,22.6499996185,49.54,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
4142.TW,國光生,無,17.7000007629,36.73,🔴 空頭陷阱,0.00%,50.00%,-1.73%,-2.95%,2,0,0.5,-0.0173
0050.TW,元大台灣50,無,90.5,79.1,🔴 空頭陷阱,50.00%,50.00%,-0.97%,-2.29%,4,0,0.5,-0.0097
1802.TW,台玻,無,67.0,60.4,🔴 空頭陷阱,42.86%,42.86%,-0.66%,-5.70%,7,0,0.4286,-0.0066
1721.TW,三晃,無,24.2000007629,63.77,🔴 空頭陷阱,62.50%,37.50%,-1.48%,-6.22%,8,0,0.375,-0.0148
2352.TW,佳世達,無,23.8999996185,48.45,🔴 空頭陷阱,33.33%,33.33%,-3.16%,-3.05%,3,0,0.3333,-0.0316
2409.TW,友達,無,17.2000007629,43.07,🔴 空頭陷阱,66.67%,33.33%,-0.04%,-4.96%,6,0,0.3333,-0.0004
2317.TW,鴻海,無,219.5,70.21,🔴 空頭陷阱,25.00%,25.00%,-3.00%,-4.35%,4,0,0.25,-0.03
2485.TW,兆赫,無,58.7000007629,30.93,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,6,0,0.1667,-0.0496
6188.TWO,廣明,無,83.4000015259,39.04,🔴 空頭陷阱,50.00%,0.00%,-5.11%,-4.47%,2,0,0.0,-0.0511
