id,name,price,signal,pnl,count,win_rate,reason
2408.TW,南亞科,324.0,🟡 預警 (🚀 動能初現),236.54,6,100.0,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:4.5%)
2344.TW,華邦電,144.0,💎 持股,211.89,8,62.5,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3026.TW,禾伸堂,605.0,🚀 持股,186.22,7,85.71,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
2308.TW,台達電,2390.0,🚀 持股,170.38,7,57.14,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
2327.TW,國巨*,742.0,💎 持股,162.45,7,57.14,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3260.TWO,威剛,404.5,☁️ 觀望,126.45,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
8271.TW,宇瞻,237.0,☁️ 觀望,122.19,7,71.43,[P:0.95/8.0] [🚀 極強] 等待機會
2337.TW,旺宏,160.0,🟡 預警 (⚡ 糾結噴發),118.09,8,50.0,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
2492.TW,華新科,390.0,💎 持股,94.12,10,30.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
4967.TW,十銓,270.5,☁️ 觀望,92.15,6,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
3264.TWO,欣銓,235.5,🟡 預警 (⚡ 糾結噴發),67.59,10,40.0,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
2478.TW,大毅,127.0,☁️ 觀望,49.55,8,37.5,[P:0.95/50.0] [📈 穩定] 等待機會
3006.TW,晶豪科,242.5,☁️ 觀望,45.25,8,50.0,[P:0.95/50.0] [🚀 極強] 等待機會
3357.TWO,臺慶科,283.0,💎 持股,20.98,7,42.86,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6127.TWO,九豪,61.2000007629,💎 持股,-17.36,9,22.22,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
