id,name,price,signal,pnl,count,win_rate,reason
2367.TW,燿華,62.5,☁️ 觀望,167.79,4,75.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2337.TW,旺宏,161.5,🟡 預警 (⚡ 糾結噴發),118.09,8,50.0,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
00981A.TW,主動統一台股增長,30.8799991608,🟡 預警 (⚡ 糾結噴發),108.05,2,100.0,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
7792.TWO,安葆,255.5,☁️ 觀望,65.16,6,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
0050.TW,元大台灣50,106.0,🟡 預警 (⚡ 糾結噴發),58.12,7,71.43,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
6261.TWO,久元,94.4000015259,☁️ 觀望,42.5,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
0056.TW,元大高股息,51.9500007629,💎 持股,38.25,10,60.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
1721.TW,三晃,23.5,☁️ 觀望,30.91,6,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2485.TW,兆赫,63.0,☁️ 觀望,30.36,10,30.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3714.TW,富采,65.9000015259,☁️ 觀望,25.8,9,44.44,[P:0.95/8.0] [📉 轉弱] 等待機會
009816.TW,凱基台灣TOP50,15.5500001907,💎 持股,21.04,2,100.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
4966.TWO,譜瑞-KY,675.0,☁️ 觀望,18.27,3,66.67,[P:0.95/8.0] [📉 轉弱] 等待機會
3702.TW,大聯大,107.0,☁️ 觀望,3.82,8,12.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2352.TW,佳世達,30.7999992371,🟡 預警 (⚡ 糾結噴發),3.6,7,28.57,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
6136.TW,富爾特,25.25,☁️ 觀望,2.94,8,37.5,[P:0.95/8.0] [🚀 極強] 等待機會
6188.TWO,廣明,79.4000015259,☁️ 觀望,-11.49,3,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
6806.TW,森崴能源,3.5999999046,☁️ 觀望,-16.22,3,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
4142.TW,國光生,17.5,☁️ 觀望,-18.28,5,20.0,[P:0.95/8.0] [📈 穩定] 等待機會
2009.TW,第一銅,40.0499992371,☁️ 觀望,-21.11,8,37.5,[P:0.95/8.0] [🚀 極強] 等待機會
2409.TW,友達,26.25,🟡 預警 (🚀 動能初現),-27.44,8,12.5,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:11.2%)
8104.TW,錸寶,42.3499984741,🟡 預警 (🚀 動能初現),-51.59,8,0.0,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:9.4%)
