📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
6831.TW    | 次數: 2    | 勝率:  50.00% | 累計:   18.01%
00696B.TWO | 次數: 1    | 勝率:   0.00% | 累計:   -0.10%
8261.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -6.15%
6205.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -13.79%
1789.TW    | 次數: 1    | 勝率: 100.00% | 累計:    9.81%
3171.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   27.61%
4721.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.07%
6924.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -7.75%
3044.TW    | 次數: 1    | 勝率: 100.00% | 累計:    7.34%
00876.TW   | 次數: 1    | 勝率: 100.00% | 累計:    3.07%
4961.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.31%
2012.TW    | 次數: 3    | 勝率:   0.00% | 累計:   -6.35%
8114.TW    | 次數: 1    | 勝率: 100.00% | 累計:    5.74%
8028.TW    | 次數: 3    | 勝率:   0.00% | 累計:   -7.22%
6443.TW    | 次數: 2    | 勝率:  50.00% | 累計:   27.01%
6525.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.50%
6877.TWO   | 次數: 3    | 勝率:  33.33% | 累計:   -0.98%
1802.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.11%
4442.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -0.79%
00635U.TW  | 次數: 1    | 勝率:   0.00% | 累計:   -0.49%
2408.TW    | 次數: 1    | 勝率: 100.00% | 累計:   32.46%
2504.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -3.56%
5546.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.65%
3086.TWO   | 次數: 3    | 勝率:  33.33% | 累計:   -0.39%
2395.TW    | 次數: 3    | 勝率:  33.33% | 累計:    1.89%
3050.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.95%
6811.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -9.66%
9949.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -8.04%
4510.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -5.68%
6124.TWO   | 次數: 2    | 勝率:   0.00% | 累計:  -16.96%
2101.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.86%
4556.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    0.18%
1612.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -3.48%
6624.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -5.72%
3081.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   78.81%
6446.TW    | 次數: 1    | 勝率: 100.00% | 累計:   42.34%
6485.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    7.28%
00981D.TWO | 次數: 1    | 勝率: 100.00% | 累計:    0.00%
2374.TW    | 次數: 1    | 勝率: 100.00% | 累計:    0.26%
6113.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -5.58%
1443.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -3.60%
2025.TW    | 次數: 1    | 勝率: 100.00% | 累計:   12.78%
6141.TW    | 次數: 3    | 勝率:  33.33% | 累計:   58.51%
5243.TW    | 次數: 1    | 勝率: 100.00% | 累計:   16.69%
2303.TW    | 次數: 1    | 勝率: 100.00% | 累計:    9.30%
3372.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -7.07%
4968.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.95%
8433.TWO   | 次數: 3    | 勝率:  33.33% | 累計:   -2.79%
2402.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -19.31%
2351.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -8.63%
2420.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.93%
911622.TW  | 次數: 1    | 勝率: 100.00% | 累計:    2.44%
7743.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -0.49%
6223.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   -5.80%
6261.TWO   | 次數: 3    | 勝率:  33.33% | 累計:   -1.64%
7583.TWO   | 次數: 1    | 勝率:   0.00% | 累計:  -11.14%
6658.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -6.42%
2497.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.43%
00749B.TWO | 次數: 1    | 勝率:   0.00% | 累計:   -1.08%
3030.TW    | 次數: 3    | 勝率:  66.67% | 累計:   10.76%
00918.TW   | 次數: 1    | 勝率:   0.00% | 累計:   -1.81%
3022.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -11.59%
5906.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.06%
4167.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    7.59%
2743.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.34%
2412.TW    | 次數: 2    | 勝率:  50.00% | 累計:    0.01%
2428.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -3.34%
4536.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.79%
2901.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.23%
4554.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    1.65%
6173.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.20%
3224.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    0.54%
3231.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -5.64%
8930.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.98%
2464.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -13.70%
2007.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -16.28%
1725.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -3.41%
6116.TW    | 次數: 2    | 勝率:  50.00% | 累計:   15.92%
2453.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -18.03%
6735.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    9.46%
8923.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -0.75%
9958.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.38%
1586.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -7.14%
8932.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -5.34%
1709.TW    | 次數: 1    | 勝率: 100.00% | 累計:    4.35%
