股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
3702.TW,大聯大,無,95.5,63.68,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,6,0,1.0,0.0364
4956.TW,光鋐,無,46.0,64.87,🟢 黃金標的,62.50%,87.50%,6.18%,-5.08%,8,0,0.875,0.0618
6407.TWO,相互,無,40.9000015259,62.59,🟢 黃金標的,81.82%,72.73%,17.41%,-10.38%,11,0,0.7273,0.1741
2367.TW,燿華,無,59.7999992371,34.3,🟢 黃金標的,33.33%,66.67%,4.93%,-4.33%,6,0,0.6667,0.0493
7853.TWO,政美應用,無,313.0,55.8,🟡 妖股/高波動,60.00%,40.00%,12.10%,-9.97%,5,0,0.4,0.121
8044.TWO,網家,無,23.0,56.2,⚪ 一般監控,0.00%,100.00%,1.01%,-5.88%,1,0,1.0,0.0101
3481.TW,群創,無,24.2999992371,51.13,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,4,0,0.75,0.0189
6849.TWO,奇鼎科技,無,218.0,64.16,⚪ 一般監控,50.00%,50.00%,13.72%,-11.65%,8,0,0.5,0.1372
2485.TW,兆赫,無,62.2000007629,36.99,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,6,0,0.1667,-0.0496
3049.TW,精金,無,12.0,57.14,🔴 空頭陷阱,50.00%,16.67%,-11.00%,-10.10%,6,0,0.1667,-0.11
2069.TW,運錩,無,18.7000007629,52.94,🔴 空頭陷阱,50.00%,0.00%,-4.60%,-3.62%,2,0,0.0,-0.046
